,neighborhood,zipcodes,gentrification_label,coffee,cafe,avg_rating,avg_price,starbucks_count,bars,"%, Less than 9th grade","%, 9th to 12th grade, no diploma",% High school graduate (includes equivalency),"% Some college, no degree",% A Associate's degree,% Bachelor's degree,% Graduate or professional degree,% high school graduate or higher,% bachelor's degree or higher,% White,% African American,% American Indian and Alaska Native,% American Indian and Alaska Native - Cherokee tribal grouping,% American Indian and Alaska Native - Chippewa tribal grouping,% American Indian and Alaska Native - Navajo tribal grouping,% American Indian and Alaska Native - Sioux tribal grouping,% Asian,% Asian Indian,% Chinese,% Filipino,% Japanese,% Korean,% Vietnamese,% Other Asian,% Native Hawaiian and Other Pacific Islander,% Native Hawaiian and Other Pacific Islander - Native Hawaiian,% Native Hawaiian and Other Pacific Islander - Guamanian or Chamorro,% Native Hawaiian and Other Pacific Islander - Samoan,% Native Hawaiian and Other Pacific Islander - Other Pacific Islander,% Some other race,median_household_income_$,mean_household_income_$
107,Northeast Queens,11363,Higher-Income,,,3.7666666666666666,1.6,,,2.8,1.9,21.5,14.8,9.5,27.1,22.4,95.3,49.5,60.5,1.2,0.0,0.0,0.0,0.0,0.0,29.7,1.3,13.3,0.0,0.6,14.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,4.3,90443,119527
108,Northeast Queens,11364,Higher-Income,4.0,,3.3923076923076922,1.5357142857142858,1.0,,6.1,4.7,22.0,14.3,8.5,26.1,18.3,89.2,44.3,41.7,2.9,0.1,0.0,0.0,0.0,0.0,50.7,2.3,33.4,2.2,0.1,10.5,0.1,2.0,0.2,0.0,0.0,0.0,0.2,1.9,70408,91051
109,North Queens,11354,Higher-Income,,,,,,,12.4,13.3,27.8,12.7,11.5,14.7,7.5,74.3,22.2,22.2,3.5,0.3,0.0,0.0,0.0,0.0,60.6,3.2,37.4,1.8,0.3,15.1,0.1,2.8,0.0,0.0,0.0,0.0,0.0,10.2,43660,62668
110,North Queens,11355,Higher-Income,,,4.321428571428571,1.0476190476190477,,,15.3,14.4,29.0,9.1,10.8,13.7,7.7,70.3,21.4,12.6,3.4,0.4,0.0,0.0,0.0,0.0,73.7,5.9,56.6,1.6,0.1,4.4,0.4,4.7,0.1,0.0,0.0,0.0,0.1,7.4,38451,54563
111,North Queens,11356,Higher-Income,3.0,,3.6911764705882355,1.5384615384615385,1.0,1.0,11.2,10.0,34.7,15.0,7.3,15.5,6.3,78.8,21.8,35.4,2.0,0.7,0.0,0.0,0.0,0.0,31.8,2.2,22.0,1.9,0.1,3.8,0.1,1.7,0.2,0.2,0.0,0.0,0.0,26.6,57849,75187
112,North Queens,11357,Higher-Income,1.0,,3.74,1.6097560975609757,,1.0,7.8,6.5,25.8,15.5,7.9,22.8,13.6,85.6,36.5,72.3,0.5,0.2,0.1,0.0,0.1,0.0,20.9,0.7,11.5,0.6,0.6,6.5,0.1,0.9,0.0,0.0,0.0,0.0,0.0,3.6,74255,92293
113,North Queens,11358,Higher-Income,,1.0,3.5,1.7272727272727273,,,8.0,7.3,25.3,14.8,10.4,20.9,13.3,84.7,34.3,43.7,1.2,0.2,0.0,0.0,0.0,0.0,44.8,1.4,21.5,1.7,0.2,18.4,0.8,0.8,0.0,0.0,0.0,0.0,0.0,7.6,66173,87286
114,North Queens,11359,Higher-Income,,,3.8333333333333335,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
115,North Queens,11360,Higher-Income,,,3.55,1.8333333333333335,,,4.3,3.1,21.1,13.5,7.5,28.6,21.9,92.6,50.5,65.8,1.7,0.3,0.0,0.0,0.0,0.0,25.8,0.7,10.9,0.5,0.2,13.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,4.8,82982,100007
116,Central Queens,11365,Higher-Income,2.0,,4.426282051282051,1.3484848484848484,1.0,,7.2,6.2,25.5,15.9,10.0,20.2,15.1,86.6,35.3,35.8,5.9,0.5,0.0,0.0,0.0,0.0,44.5,3.0,29.5,2.1,0.2,6.5,0.2,2.9,0.0,0.0,0.0,0.0,0.0,9.7,62509,81340
117,Central Queens,11366,Higher-Income,3.0,,3.24413834749292,1.4000822368421053,,,4.7,6.0,21.1,12.1,8.8,28.8,18.5,89.3,47.3,46.7,5.2,0.0,0.0,0.0,0.0,0.0,42.4,3.2,24.6,5.3,0.1,4.0,1.1,4.2,0.0,0.0,0.0,0.0,0.0,2.5,78223,100212
118,Central Queens,11367,Higher-Income,,,2.8721491228070173,1.4689754689754688,,,8.3,6.1,25.2,11.8,9.4,22.0,17.2,85.6,39.2,57.2,9.1,0.2,0.0,0.1,0.0,0.0,24.9,3.2,15.2,2.0,0.0,0.9,0.1,3.4,0.0,0.0,0.0,0.0,0.0,4.4,57310,75557
119,Jamaica,11412,Higher-Income,2.0,,3.182539682539683,1.275462962962963,,2.0,5.9,6.1,32.1,22.1,10.8,14.4,8.6,88.0,23.0,2.3,87.6,0.5,0.0,0.0,0.0,0.0,2.5,2.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3.3,71995,83561
120,Jamaica,11423,Higher-Income,2.0,,3.80489417989418,1.1475694444444444,,,10.3,8.3,28.0,17.0,8.1,19.5,8.7,81.4,28.2,14.0,38.1,0.9,0.0,0.0,0.0,0.0,28.3,18.4,0.7,4.1,0.0,0.0,0.1,5.1,0.0,0.0,0.0,0.0,0.0,13.2,66070,82969
121,Jamaica,11432,Higher-Income,12.0,,4.366478527764936,1.230952380952381,2.0,2.0,13.9,8.0,21.6,12.6,8.0,23.0,13.0,78.1,35.9,22.7,16.1,0.4,0.0,0.0,0.0,0.0,41.6,12.5,3.5,4.9,0.1,0.3,0.0,20.3,0.0,0.0,0.0,0.0,0.0,15.3,52277,73715
122,Jamaica,11433,Higher-Income,5.0,,3.3873626373626373,1.1714285714285713,,,10.6,11.7,33.8,18.4,8.6,11.3,5.6,77.7,16.9,4.3,67.5,0.3,0.0,0.0,0.0,0.0,6.6,1.5,0.6,0.3,0.0,0.1,0.0,4.2,0.0,0.0,0.0,0.0,0.0,18.5,45820,61288
123,Jamaica,11434,Higher-Income,6.0,1.0,2.890366721401204,1.3662280701754383,,,5.2,8.7,32.8,23.2,7.7,15.1,7.2,86.1,22.3,2.8,88.8,0.0,0.0,0.0,0.0,0.0,1.6,0.7,0.2,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5.1,57454,70080
124,Jamaica,11435,Higher-Income,10.0,,3.2259721203228175,1.5079828750714828,2.0,3.0,12.6,9.8,27.5,14.6,7.7,18.3,9.5,77.6,27.8,20.1,24.2,0.2,0.0,0.0,0.0,0.0,21.8,7.8,3.2,1.8,0.1,0.4,0.2,8.4,0.0,0.0,0.0,0.0,0.0,28.2,55268,68560
